topic_id,type,stem,is_active,explanation_eli5,explanation_points_by_option,explanation_l2,options,correct_answer,difficulty,created_at,updated_at
3aaee246-c4e2-460b-ac13-ff42475b6133,single_best_answer,"A 30-year-old woman is 30 weeks pregnant. She is RhD-negative and previously delivered an RhD-positive baby abroad, after which she did not receive anti-D immunoglobulin. Her current antibody screen shows a rising anti-D titre. Ultrasound shows fetal ascites and skin oedema, and fetal middle cerebral artery peak systolic velocity is increased. What is the most likely diagnosis?",true,"The mother has made antibodies against RhD-positive fetal red cells. These antibodies cross the placenta and destroy fetal red blood cells, causing anaemia and swelling of the fetus.","{""A"": """", ""B"": ""The mother is RhD-negative, has a history of a previous RhD-positive pregnancy without anti-D prophylaxis, and now has rising anti-D antibodies. Raised fetal middle cerebral artery velocity suggests fetal anaemia, and hydrops features support severe haemolytic disease of the fetus. ABO incompatibility typically causes neonatal jaundice rather than severe antenatal hydrops. Parvovirus B19 can cause fetal anaemia but the anti-D history is the key discriminator. Twin-to-twin transfusion requires a monochorionic twin pregnancy. Alpha-thalassaemia major can cause hydrops but is not suggested by the maternal antibody findings."", ""C"": """", ""D"": """", ""E"": """"}","Correct answer: B - Fetal anaemia due to RhD alloimmunisation

The mother is RhD-negative, has a history of a previous RhD-positive pregnancy without anti-D prophylaxis, and now has rising anti-D antibodies. Raised fetal middle cerebral artery velocity suggests fetal anaemia, and hydrops features support severe haemolytic disease of the fetus. ABO incompatibility typically causes neonatal jaundice rather than severe antenatal hydrops. Parvovirus B19 can cause fetal anaemia but the anti-D history is the key discriminator. Twin-to-twin transfusion requires a monochorionic twin pregnancy. Alpha-thalassaemia major can cause hydrops but is not suggested by the maternal antibody findings.

Clinical context: In UK antenatal care, blood group and antibody screening are performed at booking and again later in pregnancy to identify clinically significant red cell antibodies.

Guideline anchor: NICE antenatal care and British Society for Haematology principles on red cell antibodies in pregnancy

Exam tip: Raised fetal MCA velocity in an alloimmunised pregnancy points to fetal anaemia.","[{""label"": ""A"", ""text"": ""ABO incompatibility causing neonatal jaundice""}, {""label"": ""B"", ""text"": ""Fetal anaemia due to RhD alloimmunisation""}, {""label"": ""C"", ""text"": ""Fetal anaemia due to parvovirus B19 infection""}, {""label"": ""D"", ""text"": ""Twin-to-twin transfusion syndrome""}, {""label"": ""E"", ""text"": ""Alpha-thalassaemia major""}]",B,medium,2026-05-11T19:39:12.073399+00:00,2026-05-11T19:39:12.073399+00:00
91237ed3-e1c4-4e8f-a4c6-59a3a0c7ee6e,single_best_answer,"A 42-year-old man has progressive involuntary jerking movements, irritability and difficulty planning tasks. His father developed similar symptoms in his 40s. Neurological examination shows choreiform movements. Which investigation is most likely to confirm the diagnosis?",true,Huntington's disease is caused by a specific repeated DNA sequence in the HTT gene. A blood genetic test can confirm it.,"{""A"": """", ""B"": """", ""C"": """", ""D"": ""The combination of chorea, cognitive and psychiatric features, autosomal dominant family history and onset in mid-adulthood is typical of Huntington's disease. Diagnosis is confirmed by genetic testing for an expanded CAG repeat in the HTT gene, with appropriate counselling and consent. MRI may show caudate atrophy but is not definitive. Caeruloplasmin is used in suspected Wilson's disease. EEG and CSF oligoclonal bands do not confirm Huntington's disease."", ""E"": """"}","Correct answer: D - Genetic testing for a CAG repeat expansion in the HTT gene

The combination of chorea, cognitive and psychiatric features, autosomal dominant family history and onset in mid-adulthood is typical of Huntington's disease. Diagnosis is confirmed by genetic testing for an expanded CAG repeat in the HTT gene, with appropriate counselling and consent. MRI may show caudate atrophy but is not definitive. Caeruloplasmin is used in suspected Wilson's disease. EEG and CSF oligoclonal bands do not confirm Huntington's disease.

Clinical context: In UK practice, diagnostic and predictive testing for Huntington's disease should involve genetic counselling because results have implications for the patient and relatives.

Guideline anchor: standard UK clinical genetics practice

Exam tip: Chorea plus autosomal dominant family history: confirm with HTT CAG repeat testing.","[{""label"": ""A"", ""text"": ""Electroencephalography""}, {""label"": ""B"", ""text"": ""MRI brain looking for caudate atrophy""}, {""label"": ""C"", ""text"": ""Serum caeruloplasmin concentration""}, {""label"": ""D"", ""text"": ""Genetic testing for a CAG repeat expansion in the HTT gene""}, {""label"": ""E"", ""text"": ""Lumbar puncture for cerebrospinal fluid oligoclonal bands""}]",D,medium,2026-05-11T19:39:12.073446+00:00,2026-05-11T19:39:12.073446+00:00
4425d1cc-b7a9-469a-8b27-4b11a0eecf81,single_best_answer,A 20-month-old boy is brought to the emergency department after a seizure during a febrile illness. He had left arm and left facial jerking for 7 minutes and was drowsy afterwards. His temperature is 39.1°C. He is now alert with no neck stiffness and no persistent neurological deficit. What is the most likely diagnosis?,true,"A fever-related seizure is called complex if it is one-sided, lasts more than 15 minutes, or happens more than once in the same illness.","{""A"": """", ""B"": """", ""C"": """", ""D"": ""A febrile convulsion occurs in a child aged 6 months to 5 years with fever and no evidence of CNS infection. This seizure was focal, involving the left arm and face, so it is classified as complex even though it lasted less than 15 minutes. A simple febrile convulsion is generalised, lasts less than 15 minutes and does not recur within 24 hours. Absence seizures are brief episodes of impaired awareness without fever or prolonged postictal drowsiness. Rigors are shaking without loss of consciousness or epileptic features. Breath-holding attacks are typically triggered by crying or distress."", ""E"": """"}","Correct answer: D - Complex febrile convulsion

A febrile convulsion occurs in a child aged 6 months to 5 years with fever and no evidence of CNS infection. This seizure was focal, involving the left arm and face, so it is classified as complex even though it lasted less than 15 minutes. A simple febrile convulsion is generalised, lasts less than 15 minutes and does not recur within 24 hours. Absence seizures are brief episodes of impaired awareness without fever or prolonged postictal drowsiness. Rigors are shaking without loss of consciousness or epileptic features. Breath-holding attacks are typically triggered by crying or distress.

Clinical context: Febrile convulsions are common in young children; assessment focuses on identifying the source of fever and excluding meningitis or encephalitis.

Guideline anchor: NICE guidance on fever in under 5s and standard UK paediatric practice

Exam tip: Focal, prolonged or recurrent febrile seizure equals complex febrile convulsion.","[{""label"": ""A"", ""text"": ""Simple febrile convulsion""}, {""label"": ""B"", ""text"": ""Absence seizure""}, {""label"": ""C"", ""text"": ""Rigors due to bacterial infection""}, {""label"": ""D"", ""text"": ""Complex febrile convulsion""}, {""label"": ""E"", ""text"": ""Breath-holding attack""}]",D,medium,2026-05-11T19:39:12.073467+00:00,2026-05-11T19:39:12.073467+00:00
6f92e913-1f03-41ae-8a49-fecad5df5d4b,single_best_answer,A 76-year-old man with atrial fibrillation presents with sudden severe central abdominal pain. The pain is much worse than the abdominal tenderness on examination. He has not opened his bowels since the pain started. Lactate is 5.1 mmol/L (0.5–2.2) and white cell count is 18.4 × 10^9/L (4.0–11.0). He is haemodynamically stable and has no peritonism. Which investigation is most likely to confirm the diagnosis?,true,The bowel may be losing its blood supply. A contrast CT timed to show the blood vessels is the best test when the patient is stable enough for imaging.,"{""A"": """", ""B"": """", ""C"": """", ""D"": """", ""E"": ""Sudden severe pain out of proportion to examination findings in a patient with atrial fibrillation and raised lactate is highly suggestive of acute mesenteric ischaemia. In a stable patient without peritonitis, CT angiography with intravenous contrast is the investigation most likely to confirm the diagnosis and identify arterial or venous occlusion. Flexible sigmoidoscopy is more useful for distal colitis and is not adequate for acute mesenteric ischaemia. Doppler ultrasound is operator-dependent and less reliable acutely. Plain radiographs are insensitive. Non-contrast CT may miss vascular occlusion and bowel enhancement abnormalities.""}","Correct answer: E - CT angiography of the abdomen and pelvis with intravenous contrast

Sudden severe pain out of proportion to examination findings in a patient with atrial fibrillation and raised lactate is highly suggestive of acute mesenteric ischaemia. In a stable patient without peritonitis, CT angiography with intravenous contrast is the investigation most likely to confirm the diagnosis and identify arterial or venous occlusion. Flexible sigmoidoscopy is more useful for distal colitis and is not adequate for acute mesenteric ischaemia. Doppler ultrasound is operator-dependent and less reliable acutely. Plain radiographs are insensitive. Non-contrast CT may miss vascular occlusion and bowel enhancement abnormalities.

Clinical context: Acute mesenteric ischaemia is a surgical and radiological emergency; early CT angiography helps guide revascularisation or operative management.

Guideline anchor: standard UK emergency surgical and radiology practice

Exam tip: Pain out of proportion plus AF: think embolic mesenteric ischaemia and request CT angiography.","[{""label"": ""A"", ""text"": ""Flexible sigmoidoscopy""}, {""label"": ""B"", ""text"": ""Abdominal ultrasound with Doppler""}, {""label"": ""C"", ""text"": ""Plain abdominal radiograph""}, {""label"": ""D"", ""text"": ""Non-contrast CT abdomen and pelvis""}, {""label"": ""E"", ""text"": ""CT angiography of the abdomen and pelvis with intravenous contrast""}]",E,hard,2026-05-11T19:39:12.073484+00:00,2026-05-11T19:39:12.073484+00:00
5a311d46-b1da-464c-9b33-71764a291d98,single_best_answer,"A 32-year-old woman sees her GP with 5 months of disabling fatigue, post-exertional worsening, unrefreshing sleep and difficulty concentrating. She has reduced her working hours. Examination is normal. Which initial investigation approach is most appropriate before making a diagnosis of ME/CFS?",true,ME/CFS cannot be confirmed by one test. Basic blood tests help make sure a common medical problem is not causing the fatigue.,"{""A"": ""ME/CFS is a clinical diagnosis supported by typical symptoms and exclusion of other causes. NICE recommends considering baseline tests such as FBC, U&Es, LFTs, thyroid function, ESR or plasma viscosity, CRP, calcium/phosphate, HbA1c, ferritin, coeliac screening, CK and urinalysis as clinically appropriate. MRI, polysomnography and viral serology are not routine unless suggested by specific features. It is inappropriate to make the diagnosis without considering common alternative causes such as anaemia, thyroid disease, diabetes, inflammatory disease and coeliac disease."", ""B"": """", ""C"": """", ""D"": """", ""E"": """"}","Correct answer: A - Screening blood tests including full blood count, urea and electrolytes, liver function tests, thyroid function, inflammatory markers, ferritin, coeliac screen and HbA1c

ME/CFS is a clinical diagnosis supported by typical symptoms and exclusion of other causes. NICE recommends considering baseline tests such as FBC, U&Es, LFTs, thyroid function, ESR or plasma viscosity, CRP, calcium/phosphate, HbA1c, ferritin, coeliac screening, CK and urinalysis as clinically appropriate. MRI, polysomnography and viral serology are not routine unless suggested by specific features. It is inappropriate to make the diagnosis without considering common alternative causes such as anaemia, thyroid disease, diabetes, inflammatory disease and coeliac disease.

Clinical context: In primary care, patients with persistent fatigue should be assessed for ME/CFS features while also checking for common treatable conditions.

Guideline anchor: NICE guideline on myalgic encephalomyelitis/chronic fatigue syndrome

Exam tip: ME/CFS is clinical, but first exclude common mimics with targeted baseline tests.","[{""label"": ""A"", ""text"": ""Screening blood tests including full blood count, urea and electrolytes, liver function tests, thyroid function, inflammatory markers, ferritin, coeliac screen and HbA1c""}, {""label"": ""B"", ""text"": ""MRI brain and whole spine""}, {""label"": ""C"", ""text"": ""Serology for Epstein-Barr virus and cytomegalovirus only""}, {""label"": ""D"", ""text"": ""Overnight polysomnography for all patients""}, {""label"": ""E"", ""text"": ""No investigations are needed if the symptoms are typical""}]",A,medium,2026-05-11T19:39:12.073499+00:00,2026-05-11T19:39:12.073499+00:00
bcb17ab9-ca74-4b0f-8b25-e4535d53fe3a,single_best_answer,"A 58-year-old woman has progressive exertional breathlessness and ankle swelling. Examination shows a raised JVP, loud pulmonary component of the second heart sound and peripheral oedema. Echocardiography suggests a high probability of pulmonary hypertension. Which investigation is required to confirm the diagnosis?",true,"An echo can suggest high pressure in the lung arteries, but a catheter test directly measures the pressure and confirms the diagnosis.","{""A"": ""Echocardiography estimates the probability of pulmonary hypertension, but confirmation requires right heart catheterisation to directly measure pulmonary artery pressures and haemodynamics. High-resolution CT and V/Q scanning may help identify causes such as interstitial lung disease or chronic thromboembolic disease. Cardiac MRI can assess right ventricular structure and function but does not replace haemodynamic confirmation. Peak flow monitoring is not relevant."", ""B"": """", ""C"": """", ""D"": """", ""E"": """"}","Correct answer: A - Right heart catheterisation

Echocardiography estimates the probability of pulmonary hypertension, but confirmation requires right heart catheterisation to directly measure pulmonary artery pressures and haemodynamics. High-resolution CT and V/Q scanning may help identify causes such as interstitial lung disease or chronic thromboembolic disease. Cardiac MRI can assess right ventricular structure and function but does not replace haemodynamic confirmation. Peak flow monitoring is not relevant.

Clinical context: Patients with suspected pulmonary hypertension are usually referred to a specialist pulmonary hypertension centre for confirmation and classification before disease-specific therapy.

Guideline anchor: NICE and UK specialist pulmonary hypertension service principles

Exam tip: Echo screens; right heart catheterisation confirms pulmonary hypertension.","[{""label"": ""A"", ""text"": ""Right heart catheterisation""}, {""label"": ""B"", ""text"": ""Peak expiratory flow monitoring""}, {""label"": ""C"", ""text"": ""High-resolution CT chest""}, {""label"": ""D"", ""text"": ""Cardiac MRI""}, {""label"": ""E"", ""text"": ""Ventilation-perfusion scan""}]",A,medium,2026-05-11T19:39:12.073514+00:00,2026-05-11T19:39:12.073514+00:00
830a1983-9ecb-4d48-b190-44fc306ec1d1,single_best_answer,"A 45-year-old man presents with a sudden severe occipital headache and vomiting. Non-contrast CT head shows acute subarachnoid haemorrhage. He is alert, has no focal neurological deficit and is in a district general hospital emergency department. What is the most appropriate next step in management?",true,Bleeding around the brain can rebleed and may be due to an aneurysm. The patient needs urgent specialist care to find and treat the source.,"{""A"": """", ""B"": """", ""C"": """", ""D"": """", ""E"": ""CT-confirmed subarachnoid haemorrhage requires urgent specialist discussion for vascular imaging, aneurysm securing and neurocritical care planning. Lumbar puncture is not needed when CT has already confirmed the diagnosis. Anticoagulation would increase bleeding risk. Observation or outpatient follow-up would be unsafe because of risks of rebleeding, hydrocephalus and vasospasm.""}","Correct answer: E - Urgently discuss with the regional neurosurgical or neurovascular centre for aneurysm assessment and definitive management

CT-confirmed subarachnoid haemorrhage requires urgent specialist discussion for vascular imaging, aneurysm securing and neurocritical care planning. Lumbar puncture is not needed when CT has already confirmed the diagnosis. Anticoagulation would increase bleeding risk. Observation or outpatient follow-up would be unsafe because of risks of rebleeding, hydrocephalus and vasospasm.

Clinical context: In UK practice, patients with confirmed spontaneous subarachnoid haemorrhage are managed via regional neurosurgical or neurovascular pathways.

Guideline anchor: NICE guidance on subarachnoid haemorrhage caused by a ruptured aneurysm

Exam tip: Once SAH is confirmed, do not do LP; urgently involve neurosurgery or the neurovascular centre.","[{""label"": ""A"", ""text"": ""Discharge with outpatient neurology follow-up if symptoms improve""}, {""label"": ""B"", ""text"": ""Start therapeutic low molecular weight heparin""}, {""label"": ""C"", ""text"": ""Perform lumbar puncture to confirm the CT finding""}, {""label"": ""D"", ""text"": ""Observe on the acute medical unit and repeat CT in 24 hours""}, {""label"": ""E"", ""text"": ""Urgently discuss with the regional neurosurgical or neurovascular centre for aneurysm assessment and definitive management""}]",E,medium,2026-05-11T19:39:12.073526+00:00,2026-05-11T19:39:12.073526+00:00
5fd2bcc3-7505-497d-b761-08cce2a42eaa,single_best_answer,"A 29-year-old man is found on the floor after lying immobile overnight following recreational drug use. He has painful swollen thighs and dark urine. Creatine kinase is 82,000 IU/L (<200), potassium is 7.1 mmol/L (3.5–5.0) and creatinine is 210 micromol/L (60–110). ECG shows broad QRS complexes and peaked T waves. What is the most appropriate immediate management?",true,"Muscle breakdown has released potassium into the blood. Because the ECG shows the heart is at risk, calcium must be given immediately to protect it.","{""A"": ""This patient has rhabdomyolysis with acute kidney injury and life-threatening hyperkalaemia causing ECG changes. The immediate priority is myocardial membrane stabilisation with intravenous calcium gluconate, followed by measures to shift and remove potassium and aggressive intravenous fluid resuscitation. IV fluids are essential in rhabdomyolysis but do not address the immediate arrhythmia risk. Furosemide is not first-line for forced diuresis and may worsen hypovolaemia. Routine urine alkalinisation is not the immediate priority. Outpatient monitoring would be unsafe."", ""B"": """", ""C"": """", ""D"": """", ""E"": """"}","Correct answer: A - Give intravenous calcium gluconate

This patient has rhabdomyolysis with acute kidney injury and life-threatening hyperkalaemia causing ECG changes. The immediate priority is myocardial membrane stabilisation with intravenous calcium gluconate, followed by measures to shift and remove potassium and aggressive intravenous fluid resuscitation. IV fluids are essential in rhabdomyolysis but do not address the immediate arrhythmia risk. Furosemide is not first-line for forced diuresis and may worsen hypovolaemia. Routine urine alkalinisation is not the immediate priority. Outpatient monitoring would be unsafe.

Clinical context: Rhabdomyolysis in emergency care is treated with early fluids, monitoring for compartment syndrome and urgent correction of dangerous electrolyte abnormalities.

Guideline anchor: Resus Council UK and standard UK emergency hyperkalaemia management principles

Exam tip: In rhabdomyolysis, ECG changes from hyperkalaemia make IV calcium the first immediate step.","[{""label"": ""A"", ""text"": ""Give intravenous calcium gluconate""}, {""label"": ""B"", ""text"": ""Start high-dose intravenous 0.9% sodium chloride only""}, {""label"": ""C"", ""text"": ""Give intravenous furosemide to force diuresis""}, {""label"": ""D"", ""text"": ""Start oral sodium bicarbonate for urine alkalinisation""}, {""label"": ""E"", ""text"": ""Arrange outpatient repeat creatine kinase measurement""}]",A,hard,2026-05-11T19:39:12.073540+00:00,2026-05-11T19:39:12.073540+00:00
8190a20a-d155-459a-9ac7-ace19038350d,single_best_answer,"A 34-year-old woman has had 4 weeks of daily fevers up to 39.5°C. She also has a sore throat, painful wrists and knees, and a faint salmon-pink rash that appears during fever spikes. Blood tests show haemoglobin 110 g/L (115–160), white cell count 18.6 × 10^9/L (4.0–11.0) with neutrophilia, CRP 145 mg/L (<5) and ferritin 15,000 micrograms/L (15–300). Blood cultures are negative, and ANA and rheumatoid factor are negative. What is the most likely diagnosis?",true,"This pattern of daily high fevers, joint pains, a salmon-coloured rash and extremely high ferritin is classic for adult-onset Still's disease.","{""A"": """", ""B"": """", ""C"": ""Adult-onset Still's disease is characterised by high spiking fevers, evanescent salmon-pink rash, sore throat, arthralgia or arthritis, neutrophilic leucocytosis and markedly raised ferritin. Negative ANA and rheumatoid factor support the diagnosis. SLE is less likely with neutrophilia and negative ANA. Endocarditis can cause prolonged fever but does not typically cause the salmon rash and extreme ferritin pattern, and cultures are negative. Hodgkin lymphoma can cause fever but the rash, sore throat and inflammatory pattern are more typical of Still's disease. Subacute thyroiditis would usually cause neck pain and thyrotoxic features."", ""D"": """", ""E"": """"}","Correct answer: C - Adult-onset Still's disease

Adult-onset Still's disease is characterised by high spiking fevers, evanescent salmon-pink rash, sore throat, arthralgia or arthritis, neutrophilic leucocytosis and markedly raised ferritin. Negative ANA and rheumatoid factor support the diagnosis. SLE is less likely with neutrophilia and negative ANA. Endocarditis can cause prolonged fever but does not typically cause the salmon rash and extreme ferritin pattern, and cultures are negative. Hodgkin lymphoma can cause fever but the rash, sore throat and inflammatory pattern are more typical of Still's disease. Subacute thyroiditis would usually cause neck pain and thyrotoxic features.

Clinical context: Pyrexia of unknown origin requires systematic assessment for infection, malignancy, inflammatory disease and drug-related causes.

Guideline anchor: standard UK clinical practice for pyrexia of unknown origin assessment

Exam tip: Very high ferritin plus quotidian fever and salmon-pink rash suggests adult-onset Still's disease.","[{""label"": ""A"", ""text"": ""Systemic lupus erythematosus""}, {""label"": ""B"", ""text"": ""Subacute bacterial endocarditis""}, {""label"": ""C"", ""text"": ""Adult-onset Still's disease""}, {""label"": ""D"", ""text"": ""Hodgkin lymphoma""}, {""label"": ""E"", ""text"": ""Subacute thyroiditis""}]",C,hard,2026-05-11T19:39:12.073552+00:00,2026-05-11T19:39:12.073552+00:00
c79d7377-852f-48e7-8e67-ddea18f9e123,single_best_answer,"A randomised trial in children with atopic eczema compares an enhanced emollient education programme with standard care. Over 6 months, 30 of 100 children in the intervention group have an eczema flare compared with 50 of 100 children in the standard care group. What is the number needed to treat to prevent one eczema flare over 6 months?",true,The programme prevents flares in 20 extra children out of every 100 treated. That means treating 5 children prevents 1 flare.,"{""A"": """", ""B"": ""The flare risk is 50% with standard care and 30% with the intervention. The absolute risk reduction is 20%, or 0.20. NNT is 1 divided by absolute risk reduction: 1/0.20 = 5. The other options result from using relative rather than absolute differences or incorrect arithmetic."", ""C"": """", ""D"": """", ""E"": """"}","Correct answer: B - 5

The flare risk is 50% with standard care and 30% with the intervention. The absolute risk reduction is 20%, or 0.20. NNT is 1 divided by absolute risk reduction: 1/0.20 = 5. The other options result from using relative rather than absolute differences or incorrect arithmetic.

Clinical context: Eczema treatments are often assessed by reductions in flares, symptom scores or need for topical corticosteroids; NNT helps interpret the clinical usefulness of an intervention.

Guideline anchor: standard UK clinical epidemiology principles

Exam tip: NNT = 1 / absolute risk reduction; use proportions, not percentages.","[{""label"": ""A"", ""text"": ""2""}, {""label"": ""B"", ""text"": ""5""}, {""label"": ""C"", ""text"": ""10""}, {""label"": ""D"", ""text"": ""20""}, {""label"": ""E"", ""text"": ""50""}]",B,medium,2026-05-11T19:39:12.073565+00:00,2026-05-11T19:39:12.073565+00:00
